FID,MAP,REFNAME,PARKNAME,LOCATION,OBSERVER,FIELDDATE,APPROVDATE,MANAGER,CS,PS,PS_HIGH,PS_LOW,CU,CU_ACTUAL,PU,PU_HIGH,PU_LOW,TH_RANK_CS,TH_RANK_PS,PROB_FLAG,TRL_ENTPT,TRL_SIGN,PARKING,PKG_AUTO,PKG_BUS,PKG_HORSE,PKG_HANDIC,PKG_TYPE,PKG_SUBSTR,RESTROOM,RSTRM_TYPE,RANGER_STA,INFO_KIOSK,WAY_EXH,WATER,PHONE,GARBAGE,RECYC_BINS,MUTTMITT,SCEN_OVRLK,PICNIC,CAMP_REG,CAMP_GRP,CAMP_BCK,COMMENTS,COASTALZN,LVMCOG_TH,lat,lng,SMMTC_TH,DOGS,COUNTY,JURISDN
290,22,Oldfield Ranch Rd,,Oldfield Ranch Road  Greenleaf Cyn. Road,Andrew Paden,2/24/2000,mb2/23/00,Private,DL,DL,DL,DL,,,,,,NA,NA,,No,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,,Coastal,0,34.10817254,-118.6075703,0,,LOS ANGELES,Unincorp LA
291,67,Malibu Creek SP/Mulholland,Malibu Creek State Park,Mulholland Highway ^ social trail,MB,,mb12/17/02,CDPR,UP,EC,EC,EC,UN,,NA,,,Unauthorized,NA,,Yes,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,In-house review.,Outside,0,34.10685161,-118.735447,0,,LOS ANGELES,Unincorp LA
292,22,Will Geer Rd/Mesa Dr South,,Will Greer Road (Mesa Drive)  Hillside Drive,Andrew Paden/MB,2/24/2000,mb11/01/00,OTH-PRIVATE,DL,DL,DL,DL,,,,,,NA,NA,,No,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,,Coastal,0,34.10897681,-118.6000149,0,,LOS ANGELES,Unincorp LA
293,21,Calabasas Peak Mtwy,,Calabasas Peak Motorway,Jessica/Jill,4/4/2003,entered by NK 09/03/03,,DL,DL,DL,DL,,,,,,NA,NA,,No,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,,Coastal,0,34.10838108,-118.6536731,0,,LOS ANGELES,Unincorp LA
294,22,1406 Topanga Canyon Blvd.,Topanga State Park,east Topanga Canyon Road/ Cheney Road,Andrew Paden,2/23/2000,mb2/23/00,OTH-PRIVATE,UP,UP,UP,UP,,,,,,Unauthorized,Unauthorized,,No,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,Clearly marked with no trespassing.  1410 and 1406 Topanga Cyn. Bl.  Close?,Coastal,0,34.1093005,-118.5896698,0,,LOS ANGELES,Unincorp LA
295,94,Hastain Trailhead,Franklin Canyon,Lake ^ Hastain Trail,JA/NS,1/4/2002,mb08/19/03,MRCA,OP,OP,OP,OP,HB,MU,MU,,,Tertiary,Tertiary,,Yes,Yes,Yes,6,0,0,0,parking lot,dirt,No,NA,No,Yes,No,No,No,XX,XX,Yes,No,No,No,No,No,Mutt Mitt dispenser is present.,Outside,0,34.11148983,-118.415173,0,Y,LOS ANGELES,Unincorp LA
296,28,Skyline Easement Rd,,Skyline Easement Rd,Ralf,5/20/2003,mb12/07/03 entered by NK 09/03/0,,DL,DL,DL,DL,,,,,,NA,NA,,No,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,Development Road,Coastal,0,34.10911075,-118.6209201,0,,LOS ANGELES,Unincorp LA
297,21,Mulholland Hwy/Stokes Ridge Tr,,Mulholland ^ Stokes Ridge Trail,,,mb01/01/04,,DL,DL,DL,DL,,,,,,NA,NA,,No,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,,Coastal,0,34.10867944,-118.661466,0,,LOS ANGELES,Unincorp LA
298,67,Malibu Creek State Park/Mulhol,Malibu Creek State Park,Mulholland Highway,,,mb01/01/04,,DL,DL,DL,DL,,,,,,NA,NA,,No,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,,Outside,0,34.10770408,-118.7366995,0,,LOS ANGELES,Unincorp LA
299,0,Canyonback Rd (N end of Mtn Gate development),Mission Cyn / Westridge-Canyonback,Canyonback Rd,MB/EE,8/4/2000,mb10/31/00,private,OP,OP,OP,OP,MU,MU,,,,Tertiary,Tertiary,,Yes,No,Yes,0,0,0,0,on-street,paved,Yes,portable,No,No,No,No,No,XX,XX,XX,XX,No,No,No,XX,"Street is broad, open, appear to be no problems with parking.  Prob TH in past.  Court ruled in favor of public access.",out,2,34.11103173,-118.4949272,0,Y,LOS ANGELES,Los Angeles
300,21,Dry Creek Cold Cyn Rd,,Dry Creek Cold Canyon Road,,,mb01/01/04,,DL,DL,DL,DL,,,,,,NA,NA,,No,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,,Coastal,0,34.1091057,-118.6646162,0,,LOS ANGELES,Unincorp LA
301,22,Greenleaf Cyn Rd,,Greenleaf Canyon Road,Andrew/MB,2/24/2000,mb11/01/00,,DL,DL,DL,DL,,,,,,NA,NA,,No,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,,Coastal,0,34.10987302,-118.6071733,0,,LOS ANGELES,Unincorp LA
302,67,Malibu Creek State Park/Mulhol,Malibu Creek State Park,Mulholland Highway,MB,,mb12/17/02,,DL,DL,DL,DL,,,,,,NA,NA,,No,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,,Outside,0,34.10870403,-118.7386801,0,,LOS ANGELES,Unincorp LA
303,41,Topanga/Penny Rd,TSP,Penny Road,Jessica/Jill,4/4/2003,mb01/02/04 mb05/28/01,private,UP,UP,UP,UP,,,,,,Unauthorized,Unauthorized,Yes,Yes,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,No field ck done at TSP boundary.  May be signage present.  Neighborhood entrance.,in,0,34.11098119,-118.5766152,0,,LOS ANGELES,Los Angeles
304,92,Bantam Pl ^ Nichols Canyon Rd,NA,Bantam Pl / Astral Dr ^ Nichols Cyn Rd,MB/EE,6/21/2000,mb10/31/00,Private,UP,UP,UP,UP,,,,,,Unauthorized,Unauthorized,,Yes,No,Yes,1,0,0,0,pullout,dirt,No,NA,No,No,No,No,No,XX,XX,XX,No,No,No,No,XX,,out,0,34.11359275,-118.3592996,0,,LOS ANGELES,Los Angeles
305,22,Luse Tank Rd,,Luse Tank Road,Jessica/Jill,4/4/2003,mb12/07/03 entered by NK 09/03/0,MRCA,UP,UP,UP,UP,,,,,,Unauthorized,Unauthorized,,No,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,"This is where a dirt road intersects park boundary.  Not really a park entrance, but still labelled as UP.  mb",Coastal,0,34.11072667,-118.6034074,0,,LOS ANGELES,Unincorp LA
306,79,Skyline Easement Rd,,Skyline Easement Rd,Jessica/Jill,4/7/2003,mb12/07/03 entered by NK 09/03/0,OTH-PRIVATE,DL,DL,DL,DL,,,,,,NA,NA,,No,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,,Outside,0,34.11061968,-118.6201788,0,,LOS ANGELES,Unincorp LA
307,83,Stokes Cyn Rd,,Stokes Canyon Road,Jessica/Jill,4/7/2003,entered by NK 09/03/03,,UX,UP,UP,UP,NA,EQ,HE,,,NA,Unauthorized,,Yes,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,mb edits.  Assigned UP proposal because hope some agency acquires parkland in area.,Outside,0,34.10961198,-118.6977893,0,,LOS ANGELES,Unincorp LA
308,55,Yerba Buena Rd/Backbone Tr,,Yerba Buena Road,Jessica/Jill,3/17/2003,mb12/31/03 entered by NK  09/10/,,AD,AD,AD,AD,NA,NA,NA,,,NA,NA,,Maybe,No,No,0,0,0,0,,,No,NA,No,No,No,No,No,No,No,No,Potential,No,No,No,No,mb - will be used to maintain Triunfo Pass backcountry camp.,Outside,0,34.1066711,-118.9025234,0,,VENTURA,Unincorp Ventura
309,22,Topanga Community House,,Topanga Canyon Bl,Andrew,2/23/2000,mb11/01/00,OTH-PRIVATE,DL,DL,DL,DL,,,,,,NA,NA,,No,No,No,0,0,0,0,parking lot,paved,Yes,flush,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,This is Topanga Community House location.  May or may not be social trails leading into Topanga State Park.,Coastal,0,34.11126584,-118.5897066,0,,LOS ANGELES,Unincorp LA
310,22,Topanga/Topanga Cyn Rd,,Topanga Canyon ^ Keelson Will Geer Theatricum Botanicu,Andrew Paden,2/23/2000,mb01/02/04 mb2/23/00,OTH-PRIVATE,UX,UX,UX,UX,,,,,,NA,NA,,No,No,Yes,20,0,0,0,,,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,Theatricum Botanicum.  May or may not access trail network.,Coastal,0,34.11142748,-118.5921954,0,,LOS ANGELES,Unincorp LA
311,108,BBT - Yerba Buena Rd,Circle X Ranch - Adjacent,Yerba Buena ^ Etz-Meloy Mtway,Jessica/Jill,3/17/2003,mb12/31/03 entered by NK  09/10/,NPS,OP,OP,OP,OP,MU,,,,,Tertiary,Tertiary,,Yes,Yes,Yes,2,0,0,0,pullout,dirt,No,NA,No,No,No,No,No,No,No,No,No,No,No,No,No,"mb - not to be recognized on any maps, but public can park & use trail.  mb09/02/07 - put on maps now, since BBT is nearly done.",Outside,2,34.10718974,-118.895793,0,Y,VENTURA,Unincorp Ventura
312,92,Runyon Cyn Astral Dr,Runyon Canyon Park,Astral Drive,Andrew,3/14/2000,mb06/09/00,,DL,DL,DL,DL,,,,,,NA,NA,,No,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,nothing here,Outside,0,34.11463681,-118.3564142,0,,LOS ANGELES,Los Angeles
313,55,Yerba Buena Rd/AT&T Property,,Yerba Buena Rd/AT&T Property,Jessica/Jill,3/17/2003,mb12/31/03 entered by NK  09/10/,,UP,EC,EC,EC,,,,,,Unauthorized,NA,,Yes,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,,Outside,0,34.10737568,-118.9092741,0,,VENTURA,Unincorp Ventura
314,67,Malibu Ck St Pk/Mulholland Hwy,Malibu State Park,Mulholland ^ April Rd,MB,1/29/2003,mb01/29/03,CDPR,AD,AD,AD,AD,,,,,,NA,NA,,No,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,Input from MCSP staff.,Outside,0,34.11035798,-118.7401643,0,,LOS ANGELES,Unincorp LA
315,83,Stokes Cyn Rd,,Stokes Canyon Road,Jessica/Jill,4/7/2003,entered by NK 09/03/03,,UX,UX,UX,UX,,,,,,NA,NA,,Yes,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,,Outside,0,34.11103882,-118.6930647,0,,LOS ANGELES,Unincorp LA
316,81,Will Geer Rd/Mesa Dr,,Will Greer Road (Mesa Drive),MB,,mb11/01/00,OTH-PRIVATE,DL,DL,DL,DL,,,,,,NA,NA,,No,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,,Outside,0,34.11232875,-118.5998653,0,,LOS ANGELES,Unincorp LA
317,111,Malibu Ck St Pk/White Oak Farm,Malibu Creek State Park,Las Virgenes ^ White Oak Farm,MB,1/29/2003,mb01/29/03,CDPR,AD,AD,AD,AD,,,,,,NA,NA,,Yes,Maybe,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,Input from MCSP staff.,Outside,0,34.1108756,-118.7113482,0,,LOS ANGELES,Unincorp LA
318,81,Will Geer Rd/Mesa Dr,,Will Greer Road (Mesa Drive),MB,,mb11/01/00,OTH-PRIVATE,DL,DL,DL,DL,,,,,,NA,NA,,No,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,,Outside,0,34.11259086,-118.5994731,0,,LOS ANGELES,Unincorp LA
319,92,Runyon Cyn Solar Dr,Runyon Canyon Park,Solar Drive,AP/MB/EE,6/21/2000,mb11/01/00,CTY-LA,UP,UP,UP,UP,,,,,,Unauthorized,Unauthorized,,Yes,No,Yes,1,0,0,0,on-street,paved,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,"connects, eventually into private close to Wattles Garden Park, but not in parkland technically.  No trail map available.  Not posted as no trespassing.",Outside,0,34.11574745,-118.3536261,0,,LOS ANGELES,Los Angeles
320,81,Luse Tank Rd,,Luse Tank Road,Jessica/Jill,4/4/2003,mb12/07/03 entered by NK 09/03/0,OTH-PRIVATE,DL,DL,DL,DL,,,,,,NA,NA,,No,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,,Outside,0,34.11287565,-118.6032202,0,,LOS ANGELES,Unincorp LA
321,81,Henry Ridge Mtwy,,Henry Ridge Motorway,Jessica/Jill,4/21/2003,mb12/07/03 entered by NK 09/03/0,OTH-PRIVATE,DL,DL,DL,DL,,,,,,NA,NA,,No,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,,Outside,0,34.11286554,-118.612775,0,,LOS ANGELES,Unincorp LA
322,79,Chamera Lane,,Chamera Lane,Jessica/Jill,4/7/2003,mb12/07/03 entered by NK 09/03/0,OTH-PRIVATE,DL,DL,DL,DL,,,,,,NA,NA,,No,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,,Outside,0,34.11284906,-118.6208769,0,,LOS ANGELES,Unincorp LA
323,92,Hollywood Bowl Overlook,Mulholland Scenic Parkway,7036 Mulholland Drive,Andrew/MB,3/15/2000,mb06/09/00,MRCA,OP,OP,OP,OP,HO,HO,,,,Overlook Only,Overlook Only,,No,No,Yes,10,0,0,0,parking lot,paved,No,NA,No,No,Yes,Yes,XX,XX,XX,XX,Official,No,No,No,No,,Outside,0,34.11636753,-118.3423213,0,N,LOS ANGELES,Los Angeles
324,67,Mulholland ^ Medea Creek,Malibu Creek State Park,Mulholland ^ Medea Creek,MB,,mb01/01/04 mb12/17/02,NPS,UP,UP,UP,UP,UN,HE,UN,,,Unauthorized,Unauthorized,,Yes,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,In-house review.  Major unauthorized entrance for Malibou Lake community.  close or require SUP?,Outside,0,34.11130523,-118.7556445,0,,LOS ANGELES,Unincorp LA
325,83,Stokes Cyn Rd,,Stokes Canyon Road,Jessica/Jill,4/7/2003,entered by NK 09/03/03,,UX,UX,UX,UX,,,,,,NA,NA,,Yes,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,,Outside,0,34.11232768,-118.6870485,0,,LOS ANGELES,Unincorp LA
326,0,Lake & Franklin Cyn fork,Franklin Canyon,Lake Dr ^ Franklin Cyn Dr,MB/EE,6/21/2000,mb10/31/00,MRCA,OP,OP,OP,OP,HO,HO,,,,Tertiary,Tertiary,,Yes,No,Yes,4,0,0,0,pullout,dirt,No,NA,No,Yes,No,No,No,XX,XX,XX,No,No,No,No,XX,,out,0,34.11598743,-118.413771,0,Y,LOS ANGELES,Los Angeles
327,81,Greenleaf Cyn Rd,,Greenleaf Canyon Road,Jessica/Jill,4/4/2003,mb12/07/03 entered by NK 09/03/0,OTH-PRIVATE,DL,DL,DL,DL,,,,,,NA,NA,,No,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,,Outside,0,34.1136498,-118.608497,0,,LOS ANGELES,Unincorp LA
328,67,Mulholland Hwy ^ Bridge,Paramount Ranch,Mulholland Hwy ^ Bridge,MB,,mb01/01/04,NPS,UP,UP,UP,UP,HE,HE,HE,,,Unauthorized,Unauthorized,Yes,Yes,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,In-hse review.  Serves Malibou Lake community only.  close or require SUP?,Outside,0,34.11178103,-118.7543878,0,,LOS ANGELES,Unincorp LA
329,54,Circle X Rnch/Yerba Buena Rd,Circle X Ranch,Yerba Buena ^ Gravesite,MB,,mb12/31/03,NPS,UP,EC,EC,EC,,,,,,Unauthorized,NA,,No,No,No,0,0,0,0,pullout,dirt,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,,in,0,34.10931486,-118.9323137,0,,VENTURA,Unincorp Ventura
330,82,Beacontree Ln/Hierro Wy inters,,Beacontree Ln/Hierro Wy inters,Jessica/Jill,4/4/2003,entered by NK 09/03/03,,DL,DL,DL,DL,,,,,,NA,NA,,No,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,development roads,Outside,0,34.11330572,-118.6629398,0,,LOS ANGELES,Unincorp LA
331,78,Zuniga Rd,,Zuniga Road,Jessica/Jill,4/7/2003,entered by NK 09/03/03,,UP,UP,UP,UP,,,,,,Unauthorized,Unauthorized,,Yes,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,mb edits,Outside,0,34.11374238,-118.6369804,0,,LOS ANGELES,Unincorp LA
332,81,Will Geer Rd/Mesa Dr,,Will Geer Road (Mesa Drive),,,mb01/02/04,OTH-PRIVATE,DL,DL,DL,DL,,,,,,NA,NA,,No,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,,Outside,0,34.11444247,-118.5990676,0,,LOS ANGELES,Unincorp LA
333,81,Henry Ridge Mtwy,,Henry Ridge Motorway,Jessica/Jill,4/21/2003,mb12/07/03 entered by NK 09/03/0,OTH-PRIVATE,DL,DL,DL,DL,,,,,,NA,NA,,No,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,,Outside,0,34.114332,-118.6126894,0,,LOS ANGELES,Unincorp LA
334,82,Mulholland Hwy & Lyndon Dr,,Mulholland Hwy & Lyndon Dr,Jessica/Jill,4/4/2003,mb01/02/04 entered by NK 09/03/0,,DL,DL,DL,DL,,,,,,NA,NA,,Yes,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,gated access  mb edits,Outside,0,34.1137794,-118.6609214,0,,LOS ANGELES,Unincorp LA
335,82,Dry Canyon Cold Creek Rd,,Dry Canyon Cold Creek Road,Jessica/Jill,4/4/2003,entered by NK 09/03/03,,DL,DL,DL,DL,,,,,,NA,NA,,No,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,development road,Outside,0,34.11393801,-118.6623614,0,,LOS ANGELES,Unincorp LA
336,54,Circle X Ranch Ranger Station,Circle X Ranch,Yerba Buena ^ Circle X Ranch Ranger Station,Jessica/Jill,3/17/2003,mb12/31/03 entered by NK 09/10/0,NPS,OP,OP,OP,OP,HO,HO,HO,,,Secondary,Secondary,,Yes,Yes,Yes,888,0,0,0,parking lot,paved,Yes,flush,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,"Group campground, Grotto trailhead, recycling, no trail access to north as aerial shows.",Outside,2,34.10994094,-118.9372191,0,Y,VENTURA,Unincorp Ventura
337,10,Peter Strauss East,Peter Strauss Ranch,Eastern edge of PS Ranch at Mulholland,MB,,mb12/30/03,,UP,UP,UP,UP,UN,HE,UN,,,Unauthorized,Unauthorized,Yes,Yes,No,Yes,888,888,888,888,on-street,dirt,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,"12/30/03 Neighborhood entrance, but general public could park on Mulholland & enter.  Involves unofficial trails on Vintage property to get to Peter Strauss Loop Trail.",Coastal,0,34.11247159,-118.7728369,0,,LOS ANGELES,Unincorp LA
338,67,Reagan Ranch,Malibu Creek State Park,SE Corner Mulholland ^ Cornell,MB,,mb01/01/04,CDPR,OP,OP,OP,OP,HE,HE,HE,,,Tertiary,Tertiary,,Yes,Yes,Yes,888,0,1,0,parking lot,gravel,Yes,chemical,No,No,No,No,No,XX,XX,No,No,No,No,No,No,Updated 07/27/08. In-house review.  Facilities inventory not completed.  Planned equestrian camp.  10/7/09 MB Mike Malone confirmed eq pkg takes place.,Outside,0,34.11280952,-118.750748,0,N,LOS ANGELES,Unincorp LA
339,82,Beacontree Lane,,Beacontree Lane,Jessica/Jill,4/4/2003,entered by NK 09/03/03,,DL,DL,DL,DL,,,,,,NA,NA,,No,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,development road,Outside,0,34.11412914,-118.6630634,0,,LOS ANGELES,Unincorp LA
340,79,Chamera Lane,,Chamera Lane,Jessica/Jill,4/7/2003,mb12/07/03 entered by NK 09/03/0,,UX,UX,UX,UX,,,,,,NA,NA,,Yes,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,May become a UP if Summit-to-Summit properties are acquired.,Outside,0,34.11484596,-118.6215783,0,,LOS ANGELES,Unincorp LA
341,67,Paramount Ranch/Mulholland Hwy,Paramount Ranch,Paramount Ranch/Mulholland Hwy,MB,,mb01/01/04,NPS,OP,OP,OP,OP,HE,HE,HE,,,Tertiary,Tertiary,,Yes,Maybe,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,In-house review.  Mainly used as legitimate connecting access point between MCSP & Paramount.,Outside,0,34.11314552,-118.7514996,0,Y,LOS ANGELES,Unincorp LA
342,81,Henry Ridge Mtwy,,Henry Ridge Motorway,Jessica/Jill,4/21/2003,mb12/07/03 entered by NK 09/03/0,OTH-PRIVATE,DL,DL,DL,DL,,,,,,NA,NA,,No,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,,Outside,0,34.11506328,-118.6131386,0,,LOS ANGELES,Unincorp LA
343,81,Will Geer Rd/Mesa Dr,,Will Greer Road (Mesa Drive),,,mb01/02/04,OTH-PRIVATE,DL,DL,DL,DL,,,,,,NA,NA,,No,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,,Outside,0,34.11533871,-118.5987982,0,,LOS ANGELES,Unincorp LA
344,81,Greenleaf Cyn Rd,,Greenleaf Canyon Road,Jessica/Jill,4/4/2003,mb12/07/03 entered by NK 09/03/0,OTH-PRIVATE,DL,DL,DL,DL,,,,,,NA,NA,,No,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,,Outside,0,34.11537645,-118.6085117,0,,LOS ANGELES,Unincorp LA
345,78,Zuniga Rd,,Zuniga Road,Jessica/Jill,4/7/2003,mb01/02/04 entered by NK 09/03/0,,UX,UX,UX,UX,,,,,,NA,NA,,Yes,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,,Outside,0,34.1151812,-118.6413316,0,,LOS ANGELES,Unincorp LA
346,92,Runyon Cyn Desmond Estates Rd,Runyon Canyon Park,Lisco Place,AP/MB/EE,6/21/2000,mb11/01/00,CTY-LA,DL,DL,DL,DL,,,,,,NA,NA,,No,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,"""no trespassing"" posted.  Could conceivably connect into Runyon Cyn Park.",Outside,0,34.1188147,-118.3539237,0,,LOS ANGELES,Los Angeles
347,92,Runyon Cyn Trailhead North,Runyon Canyon Park,Runyon Canyon Road ^ Mulholland Dr,AP/MB/EE,6/21/2000,mb11/01/00,LA CITY,OP,OP,OP,OP,HO,HO,HO,,,Secondary,Secondary,,Yes,Yes,Yes,40,0,0,0,parking lot,dirt,No,NA,No,No,No,No,No,XX,XX,XX,No,No,No,No,No,"Odd signage:  an official TH w/no trespassing posted, and ""your taxpayer dollars at work.""  Also accesses off-leash dog areas. Heavily used TH.  10/9/09 MB BingMaps pkg spc count by cars present indics 40 spaces.",Outside,2,34.11900412,-118.3528967,0,Y,LOS ANGELES,Los Angeles
348,92,Runyon Cyn Hillpark Dr,?,Mulholland ^ Hillpark,Andrew,3/14/2000,mb06/09/00,OTH-PRIVATE,DL,DL,DL,DL,,,,,,NA,NA,,No,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,just the end of street that pseudo-connects to Mulholland.  Street connects of unofficial trail near Hollywood Bowl.,Outside,0,34.11915754,-118.3438535,0,,LOS ANGELES,Los Angeles
349,81,Luse Tank Rd,,Luse Tank Road,Jessica/Jill,4/4/2003,mb12/07/03 entered by NK 09/03/0,OTH-PRIVATE,DL,DL,DL,DL,,,,,,NA,NA,,No,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,,Outside,0,34.11607591,-118.605019,0,,LOS ANGELES,Unincorp LA
350,78,Topanga/Old Topanga Cyn Rd,,Old Topanga Canyon Road,Jessica/Jill,4/7/2003,entered by NK 09/03/03,,DL,DL,DL,DL,,,,,,NA,NA,,No,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,,Outside,0,34.11579994,-118.6334752,0,,LOS ANGELES,Unincorp LA
351,55,BBT - Sandstone Peak Trailhead,Circle X Ranch,Yerba Buena ^ Sandstone Peak TH,Jessica/Jill,3/17/2003,mb12/31/03 entered by NK,NPS,OP,OP,OP,OP,MU,HO,,,,Tertiary,Tertiary,,Yes,Yes,Yes,30,0,0,0,parking lot,gravel,Proposed,composting,No,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,No,maintenance needed to access of parking lot.  TMP Team rec's:  harden parking surface,in,2,34.11167921,-118.9266962,0,Y,VENTURA,Unincorp Ventura
352,100,Peter Strauss Ranch,Peter Strauss Ranch,Mulholland ^ Troutdale,Jim Anderson,3.27.01,mb01/01/04,NPS,OP,OP,OP,OP,HE,HE,HE,,,Secondary,Secondary,,Yes,Yes,Yes,25,0,1,1,parking lot,dirt,Yes,flush,No,Yes,No,Yes,Yes,Yes,Yes,Proposed,No,Yes,No,No,No,"Trailhead infrastructure associated with ranch location, removed from TH. Childrens playground.  Proposed shuttle stop.  TH handles parking for events at ranch.",Outside,1,34.11393322,-118.7783663,0,Y,LOS ANGELES,Unincorp LA
353,81,Greenleaf Cyn Rd,,Greenleaf Canyon Road,Jessica/Jill,4/4/2003,mb12/07/03 entered by NK 09/03/0,OTH-PRIVATE,DL,DL,DL,DL,,,,,,NA,NA,,No,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,,Outside,0,34.11630121,-118.6070985,0,,LOS ANGELES,Unincorp LA
354,92,Runyon Cyn Mulholland East Edge,?,Mulholland Drive,Andrew,3/14/2000,mb11/01/00,OTH-PRIVATE,DL,DL,DL,DL,,,,,,NA,NA,,No,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,,Outside,0,34.11970336,-118.3436246,0,,LOS ANGELES,Los Angeles
